127.0.0.1 - - [18/Dec/2017:15:22:10 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:11 +0800] "GET /pxene-website-info/ HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:11 +0800] "GET /pxene-website-info/bower_components/requirejs/require.js?date=1513581731682 HTTP/1.1" 200 88050
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:11 +0800] "GET /pxene-website-info/bower_components/echarts/echarts.min.js HTTP/1.1" 200 577405
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:11 +0800] "GET /pxene-website-info/app/styles/main-build.css HTTP/1.1" 200 223795
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:11 +0800] "GET /pxene-website-info/app/images/bg.jpg HTTP/1.1" 200 9387
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:11 +0800] "GET /pxene-website-info/app/fonts/iconmoon/icomoon.eot? HTTP/1.1" 200 75736
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:12 +0800] "GET /pxene-website-info/app/scripts/main-build.js?date=1513581731682 HTTP/1.1" 200 2237096
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:12 +0800] "GET /pxene-website-info/app/scripts/bootstrap.js?date=1513581732196 HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:12 +0800] "GET /pxene-website-info/app/template/viewModule/viewModuleMenu.html HTTP/1.1" 500 3309
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:12 +0800] "GET /pxene-website-info/app/views/grabParamManage.html HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:22 +0800] "POST /pxene-website-info/appIndustry/queryByPageAndNum.do HTTP/1.1" 500 32239
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:22 +0800] "GET /pxene-website-info/bower_components/xcConfirm/img/icons.png HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:50 +0800] "GET /pxene-website-info/ HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:50 +0800] "GET /pxene-website-info/ HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:50 +0800] "GET /pxene-website-info/app/styles/main-build.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:50 +0800] "GET /pxene-website-info/bower_components/echarts/echarts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:50 +0800] "GET /pxene-website-info/bower_components/requirejs/require.js?date=1513581770855 HTTP/1.1" 200 88050
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:50 +0800] "GET /pxene-website-info/app/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:50 +0800] "GET /pxene-website-info/app/fonts/iconmoon/icomoon.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:51 +0800] "GET /pxene-website-info/app/scripts/main-build.js?date=1513581770855 HTTP/1.1" 200 2237096
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:51 +0800] "GET /pxene-website-info/app/scripts/bootstrap.js?date=1513581771178 HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:22:51 +0800] "GET /pxene-website-info/app/template/viewModule/viewModuleMenu.html HTTP/1.1" 500 3309
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:23:02 +0800] "POST /pxene-website-info/appIndustry/queryByPageAndNum.do HTTP/1.1" 500 32239
0:0:0:0:0:0:0:1 - - [18/Dec/2017:15:23:02 +0800] "GET /pxene-website-info/bower_components/xcConfirm/img/icons.png HTTP/1.1" 304 -
