127.0.0.1 - - [10/Jan/2018:17:05:28 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:05:32 +0800] "GET /SpringmvcDemo/ HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:06:08 +0800] "GET /SpringmvcDemo/login HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:06:08 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:06:13 +0800] "POST /SpringmvcDemo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:06:14 +0800] "GET /SpringmvcDemo/index/admin HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:06:16 +0800] "GET /SpringmvcDemo/account/list HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:06:19 +0800] "GET /SpringmvcDemo/account/add HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:07:06 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:07:16 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:19 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:19 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:19 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:19 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:23 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:28 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:28 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:31 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:36 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:36 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:36 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:36 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:40 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:41 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:41 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:41 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:41 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:42 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:42 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:42 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:42 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:42 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:42 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:43 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:08:43 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [10/Jan/2018:17:09:48 +0800] "POST /SpringmvcDemo/account/add HTTP/1.1" 200 2672
